KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"Beds per 1,000 Population",2.4,3.1,2.2,1.9,3.2,1.8,1.9,2,2.2,4.4,2.6,2.4,1.9,1.9,2.5,3,2.7,3.3,3.2,3.3,2.5,1.9,2.3,2.5,2.5,4,3.1,3.3,3.6,2.1,2.1,2.4,1.8,2.7,2.1,4.3,2.8,2.8,1.6,2.9,2.1,2.4,4.8,2.9,2.3,1.8,2.1,2.1,1.7,3.8,2.1,3.5
"Hospital Beds per 1,000 Population by Ownership Type, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Local Government,0.3,1.4,0.3,0.1,0.3,0.3,0.4,0.1,N/A,N/A,0.4,0.3,0.3,0.4,0.1,0.9,0.4,1.1,0.4,0.8,0.1,N/A,0,0.1,0.3,1.6,0.4,0.1,0.5,0.2,N/A,N/A,0.3,0.5,0.6,N/A,0.3,0.5,0.2,0,N/A,0.6,0.2,0.5,0.3,0.3,N/A,0.2,0.4,0.4,0,2.6
Non-Profit,1.7,0.8,1.5,1.3,2.2,1.2,1.1,2,2.1,3.5,1.3,1.8,1.7,1.1,2.2,2,1.9,1.4,2.4,1.7,2.4,1.9,1.8,2.2,2.2,1.6,2.2,3,2.9,0.7,1.7,2.1,0.7,2.2,1.3,4.2,2.4,1.5,1.4,2.5,1.9,1.1,4.3,1.6,1,1,2.1,1.5,1.2,2.8,2,0.5
For-Profit,0.4,0.9,0.4,0.5,0.7,0.3,0.4,N/A,0,0.9,0.9,0.3,N/A,0.4,0.2,0.1,0.4,0.8,0.5,0.8,0.1,0,0.4,0.3,N/A,0.8,0.4,0.2,0.1,1.3,0.3,0.3,0.7,N/A,0.1,0.1,0.2,0.8,0.1,0.3,0.2,0.7,0.2,0.8,1,0.6,N/A,0.5,0.1,0.7,0.1,0.4
Total,2.4,3.1,2.2,1.9,3.2,1.8,1.9,2,2.2,4.4,2.6,2.4,1.9,1.9,2.5,3,2.7,3.3,3.2,3.3,2.5,1.9,2.3,2.5,2.5,4,3.1,3.3,3.6,2.1,2.1,2.4,1.8,2.7,2.1,4.3,2.8,2.8,1.6,2.9,2.1,2.4,4.8,2.9,2.3,1.8,2.1,2.1,1.7,3.8,2.1,3.5
"Hospital Admissions per 1,000 Population by Ownership Type, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Local Government,13,58,5,4,11,13,11,3,N/A,N/A,17,6,9,14,4,25,12,24,15,27,2,N/A,2,2,8,49,15,0,8,8,N/A,N/A,18,18,30,N/A,10,16,9,0,N/A,26,3,20,14,10,N/A,10,14,7,0,46
Non-Profit,76,33,51,68,87,60,51,100,105,131,63,79,67,51,98,74,82,54,98,71,95,94,95,101,94,56,99,85,98,31,81,111,41,98,64,118,107,63,71,114,100,50,111,71,44,53,82,66,60,116,86,18
For-Profit,17,38,16,20,22,13,16,N/A,1,34,44,12,N/A,15,5,1,15,31,13,20,1,0,16,10,N/A,19,14,7,3,62,11,9,31,N/A,4,2,5,28,3,10,9,29,9,30,39,25,N/A,19,6,20,3,9
Total,105,129,72,91,119,86,78,103,106,166,124,97,76,80,107,100,109,109,126,118,98,94,113,114,102,124,127,93,109,101,92,120,90,116,99,120,122,107,83,124,109,105,122,121,97,87,82,94,80,143,90,72
"Hospital Emergency Room Visits per 1,000 Population by Ownership Type, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Local Government,59,221,27,24,41,57,58,10,N/A,N/A,67,41,37,84,28,118,89,87,62,182,18,N/A,13,14,40,232,71,4,50,45,N/A,N/A,59,82,155,N/A,43,96,27,N/A,N/A,110,17,94,66,22,N/A,27,71,69,1,245
Non-Profit,313,115,319,203,369,232,239,481,477,491,245,350,288,240,373,308,379,227,466,346,490,368,381,442,326,243,363,367,358,123,380,394,287,365,283,414,507,269,333,444,463,231,364,259,203,162,519,315,266,511,422,79
For-Profit,67,143,91,80,91,42,61,N/A,N/A,122,130,55,N/A,88,30,6,85,97,72,102,N/A,N/A,86,46,N/A,112,52,29,16,183,77,28,159,N/A,24,N/A,31,98,18,46,53,153,50,151,160,85,N/A,92,32,103,7,53
Total,439,479,437,307,502,330,358,491,477,613,442,446,326,411,431,432,553,411,601,631,509,368,480,502,366,587,487,399,425,351,457,422,505,447,462,414,581,463,378,489,516,494,431,504,429,269,519,434,369,683,430,376
"ICU Beds, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICU Beds,"85,247.00","1,870.00",130,"1,742.00",856,"8,131.00","1,770.00",731,249,401,"6,226.00","2,703.00",219,333,"3,426.00",622,"2,358.00",878,"1,447.00","1,518.00",288,"1,227.00","1,555.00","2,749.00","1,277.00",931,"2,092.00",248,548,"1,118.00",252,"1,882.00",460,"4,420.00","3,168.00",278,"3,622.00","1,164.00",837,"3,643.00",279,"1,459.00",150,"2,309.00","7,149.00",687,94,"2,007.00","1,493.00",643,"1,506.00",102
"ICU Beds per 10,000 Population",2.7,3.9,1.8,2.5,2.9,2.1,3.2,2.1,2.7,6,3,2.6,1.6,1.9,2.8,2,3.6,3.1,3.3,3.4,2.2,2.1,2.3,2.8,2.3,3.2,3.5,2.4,2.9,3.7,1.9,2.2,2.2,2.3,3.2,3.8,3.2,3.1,2,2.9,2.8,3,1.8,3.5,2.6,2.2,1.6,2.5,2,3.7,2.7,1.8
"Total Number of Certified Nursing Facilities, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nursing Facilities,"15,483",228,18,145,231,"1,198",221,223,45,18,690,359,42,71,731,437,552,276,285,277,100,226,399,443,375,204,518,72,214,61,74,364,74,609,429,80,966,303,136,693,83,191,108,314,"1,227",99,36,286,217,123,374,38
"Total Number of Residents, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Nursing Facility Residents,"1,321,663","22,482",608,"11,343","17,439","101,030","16,078","22,653","4,181","2,380","72,741","33,043","3,474","3,319","66,643","23,638","38,682","14,657","22,760","26,169","5,947","24,414","38,673","38,062","24,755","15,950","37,874","4,153","11,394","5,336","6,442","44,033","5,693","101,518","35,763","5,531","73,826","18,361","7,317","76,652","7,817","16,993","5,984","26,481","92,250","5,178","2,440","27,595","15,993","9,251","24,239","2,428"
"Population Distribution by Age, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 0-18,24%,24%,27%,24%,25%,24%,24%,22%,22%,20%,21%,26%,23%,27%,24%,25%,25%,26%,24%,25%,19%,23%,21%,23%,24%,26%,24%,23%,26%,24%,20%,23%,24%,22%,24%,24%,23%,26%,22%,22%,20%,23%,26%,24%,27%,31%,19%,24%,23%,21%,23%,24%
Adults 19-25,9%,9%,9%,9%,9%,9%,9%,8%,8%,10%,8%,9%,7%,9%,9%,9%,9%,9%,9%,9%,7%,8%,9%,9%,8%,9%,9%,8%,9%,8%,8%,8%,9%,9%,8%,11%,9%,9%,8%,8%,9%,9%,9%,9%,9%,11%,8%,9%,8%,8%,9%,8%
Adults 26-34,12%,12%,13%,12%,12%,14%,14%,11%,12%,21%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,11%,12%,13%,12%,13%,11%,12%,11%,12%,13%,11%,11%,12%,13%,12%,14%,12%,13%,13%,12%,13%,11%,11%,12%,13%,13%,11%,12%,14%,11%,11%,12%
Adults 35-54,26%,25%,26%,24%,25%,26%,26%,27%,25%,27%,25%,27%,25%,24%,26%,24%,25%,24%,26%,25%,26%,27%,26%,25%,25%,25%,25%,24%,25%,27%,26%,27%,24%,26%,26%,23%,25%,24%,26%,25%,26%,25%,24%,26%,26%,24%,25%,26%,26%,25%,26%,24%
Adults 55-64,13%,14%,13%,12%,13%,12%,13%,15%,14%,10%,14%,12%,13%,12%,13%,13%,13%,13%,14%,13%,16%,14%,14%,14%,14%,13%,14%,15%,13%,13%,16%,14%,13%,14%,13%,13%,14%,13%,13%,14%,15%,14%,14%,13%,11%,10%,16%,13%,13%,15%,14%,14%
65+,16%,17%,12%,18%,17%,14%,14%,17%,19%,12%,21%,14%,19%,16%,15%,17%,16%,16%,16%,15%,21%,15%,17%,17%,16%,16%,17%,19%,16%,16%,18%,16%,18%,16%,16%,15%,17%,16%,18%,18%,17%,18%,16%,16%,13%,11%,20%,16%,16%,20%,17%,17%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"Population Distribution by Race/Ethnicity, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,60%,66%,60%,54%,72%,37%,68%,66%,62%,37%,53%,52%,21%,82%,61%,86%,79%,76%,85%,59%,93%,50%,71%,75%,80%,57%,80%,86%,79%,49%,90%,55%,37%,55%,63%,84%,79%,65%,75%,76%,72%,64%,82%,74%,41%,78%,93%,62%,68%,92%,81%,84%
Black,12%,26%,3%,4%,15%,5%,4%,10%,21%,45%,15%,31%,2%,1%,14%,3%,9%,5%,8%,32%,1%,29%,7%,14%,6%,38%,11%,<.01,4%,9%,1%,13%,2%,14%,21%,3%,12%,7%,2%,10%,6%,26%,2%,17%,12%,1%,1%,19%,4%,4%,6%,0%
Hispanic,18%,4%,7%,32%,8%,39%,22%,17%,9%,11%,26%,10%,10%,13%,17%,6%,7%,12%,4%,5%,2%,10%,12%,5%,5%,3%,4%,4%,11%,29%,4%,21%,49%,19%,10%,4%,4%,11%,13%,8%,16%,6%,4%,5%,40%,14%,2%,10%,13%,1%,7%,10%
American Indian/Alaska Native,1%,<.01,16%,4%,1%,<.01,<.01,<.01,<.01,N/A,<.01,<.01,N/A,1%,<.01,<.01,<.01,1%,<.01,1%,<.01,<.01,<.01,<.01,1%,<.01,<.01,6%,1%,1%,N/A,<.01,9%,<.01,1%,5%,<.01,8%,1%,<.01,N/A,<.01,9%,<.01,<.01,1%,<.01,<.01,1%,<.01,1%,2%
Asian,6%,1%,6%,3%,2%,15%,3%,5%,4%,4%,3%,4%,38%,2%,6%,3%,2%,3%,1%,2%,1%,6%,7%,3%,5%,1%,2%,1%,2%,8%,3%,10%,2%,9%,3%,2%,2%,2%,5%,4%,3%,2%,1%,2%,5%,2%,2%,7%,9%,1%,3%,1%
Native Hawaiian/Other Pacific Islander,<.01,N/A,1%,<.01,<.01,<.01,<.01,N/A,N/A,N/A,<.01,<.01,10%,N/A,<.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,<.01,N/A,N/A,1%,N/A,N/A,N/A,N/A,<.01,N/A,N/A,<.01,<.01,N/A,N/A,N/A,N/A,N/A,<.01,1%,N/A,<.01,1%,N/A,<.01,N/A
Two Or More Races,3%,2%,7%,2%,3%,3%,3%,2%,3%,3%,2%,2%,20%,2%,2%,2%,2%,3%,2%,2%,2%,3%,3%,3%,3%,1%,3%,3%,3%,4%,2%,2%,2%,3%,3%,2%,3%,7%,4%,2%,3%,2%,3%,2%,2%,3%,2%,4%,5%,2%,2%,2%
Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
"Unemployment Rate (Seasonally Adjusted), Mar 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployed,4.40%,3.50%,5.60%,5.50%,4.80%,5.30%,4.50%,3.70%,5.10%,6.00%,4.30%,4.20%,2.60%,2.60%,4.60%,3.70%,3.20%,3.10%,5.80%,6.90%,3.20%,3.30%,2.90%,4.10%,3.10%,5.30%,4.50%,3.50%,4.20%,6.30%,2.60%,3.80%,5.90%,4.50%,4.40%,2.20%,5.50%,3.10%,3.30%,6.00%,4.60%,2.60%,3.30%,3.50%,4.70%,3.60%,3.20%,3.30%,5.10%,6.10%,3.40%,3.70%
"Unemployment Claims, Week of 7/4/2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Unemployment Claims,"1,383,786","19,056","6,124","25,774","10,832","264,791","7,928","12,267","2,791","2,858","66,941","105,160","7,648","4,924","39,015","9,957","22,102","11,458","23,282","31,417","2,939","33,191","27,051","34,602","19,362","11,266","17,685","2,788","5,803","12,484","5,776","47,402","5,666","93,740","27,937","1,720","33,830","9,423","10,343","44,086","3,436","16,015",835,"24,920","117,099","4,802","1,876","31,825","29,506","3,330","27,385","1,338"
Continued Unemployment Claims,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Insured Unemployment Rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confirmed COVID-19 Cases and Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total includes territories and the 152 cases and 3 deaths from the Grand Princess and Diamond Princess cruise ships.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of 7/15/2020 at 10:34 AM. Data source may be updated more regularly. For most current data, see [Coronavirus COVID-19 Global Cases by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University](https://coronavirus.jhu.edu/map.html).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johns Hopkins University, [COVID-19 Dashboard by the Center for Systems Science and Engineering (CSSE)](https://coronavirus.jhu.edu/map.html). 2019 Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data Uploaded as of 7/15/2020 at 11:30AM. US total includes territories. Pending test results are not included in total. Only states that have an A+, A, or B grade rating for data quality are included in the share of tests with positive results. Data source may be updated more regularly. For most current data, see [The COVID Tracking Project](https://covidtracking.com/data/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[The COVID Tracking Project](https://covidtracking.com/data/). 2019 Population data from Annual Population Estimates by State, U.S. Census Bureau; available at [http://www.census.gov/popest/](http://www.census.gov/popest/).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Cases by Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York City: Data for New York City sourced from New York City's website, ""COVID-19: Data"". Accessed July 6, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah: Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vermont: The Vermont state website reports cases and deaths based on known race/ethnicity, and provides rounded case counts for White individuals and non-Hispanic individuals. The share of cases for White individuals, non-Hispanic individuals, and unknown race were imputed based on available information from the state website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming: Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Distribution of Cases/Deaths by Race/Ethnicity based on KFF analysis of publicly available state websites. Data retrieved on July 6, 2020. Total State Population Distribution by Race/Ethnicity based on KFF analysis of 2018 American Community Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total cases and/or deaths in each state may not sum to 100% due to rounding or pending or missing information. Where possible, percentages are based on a total of all confirmed cases and deaths, including those with unknown race/ethnicity. Shares of cases and deaths may not be directly comparable due to differences in reporting periods and/or rates of unknown race/ethnicity. Some states report data on cases and deaths for Native Hawaiian and Other Pacific Islander individuals, but data are insufficient for comparisons to total population distribution.  Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals from race categories. States that include Hispanic individuals in race categories are indicated by a ""Yes"" in the ""Race Categories Include Hispanic Individuals"" column. In the other states, these groups only include non-Hispanic individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Deaths by Race/Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York City: Data for New York City sourced from New York City's website, ""COVID-19: Data"". Accessed July 6, 2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah: Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vermont: The Vermont state website reports cases and deaths based on known race/ethnicity, and provides rounded case counts for White individuals and non-Hispanic individuals. The share of cases for White individuals, non-Hispanic individuals, and unknown race were imputed based on available information from the state website.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming: Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Distribution of Cases/Deaths by Race/Ethnicity based on KFF analysis of publicly available state websites. Data retrieved on July 6, 2020. Total State Population Distribution by Race/Ethnicity based on KFF analysis of 2018 American Community Survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total cases and/or deaths in each state may not sum to 100% due to rounding or pending or missing information. Where possible, percentages are based on a total of all confirmed cases and deaths, including those with unknown race/ethnicity. Shares of cases and deaths may not be directly comparable due to differences in reporting periods and/or rates of unknown race/ethnicity. Some states report data on cases and deaths for Native Hawaiian and Other Pacific Islander individuals, but data are insufficient for comparisons to total population distribution.  Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals from race categories. States that include Hispanic individuals in race categories are indicated by a ""Yes"" in the ""Race Categories Include Hispanic Individuals"" column. In the other states, these groups only include non-Hispanic individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults at Higher Risk of Serious Illness if Infected with Coronavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State counts may not sum to overall due to rounding. Data include adults ages 18 and older; exclude adults living in nursing homes and other institutional settings. For more information, see [How Many Adults Are at Risk of Serious Illness If Infected with Coronavirus?](https://www.kff.org/global-health-policy/issue-brief/how-many-adults-are-at-risk-of-serious-illness-if-infected-with-coronavirus/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFF analysis of 2018 Behavioral Risk Factor Surveillance System.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Actions to Mitigate the Spread of COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alaska: Beginning in June, AK (6/6), FL (6/5), ME (6/8), and HI (6/16) provide exceptions to the mandatory traveler quarantine based on COVID test results (AK, ME), purpose of interstate travel (FL), travel from certain states (ME), or interisland travel (HI). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California: New mandatory closures of indoor operations of restaurants, entertainment facilities, zoos, and museums, as well as all operations of bars, are in effect statewide; new mandatory closures of indoor operations of personal care services, fitness centers, malls, non-essential offices, protests, and worship services are in effect in 30 counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California: New mandatory closures of indoor operations of restaurants, entertainment facilities, zoos, and museums, as well as all operations of bars, are in effect statewide; new mandatory closures of indoor operations of personal care services, fitness centers, malls, non-essential offices, protests, and worship services are in effect in 30 counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California: New mandatory closures of indoor operations of restaurants, entertainment facilities, zoos, and museums, as well as all operations of bars, are in effect statewide; new mandatory closures of indoor operations of personal care services, fitness centers, malls, non-essential offices, protests, and worship services are in effect in 30 counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California: New mandatory closures of indoor operations of restaurants, entertainment facilities, zoos, and museums, as well as all operations of bars, are in effect statewide; new mandatory closures of indoor operations of personal care services, fitness centers, malls, non-essential offices, protests, and worship services are in effect in 30 counties.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado: In addition to employees, these states require patrons/visitors in limited sectors to wear face coverings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut: The gathering ban listed for these states refers to the lowest indoor limit in a majority of the state; there are higher limits for outdoor or other settings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Connecticut: These states did not formally issue stay at home orders; however, other actions, including closing non-essential businesses, banning large gatherings, and issuing advisories urging residents to stay home, had the same effect. For these states, rolling back such measures is listed as easing/lifting the stay at home order.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida: Further social distancing rollbacks are in place in all but three FL counties, where county officials can request approval from the governor for further reopenings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida: Further social distancing rollbacks are in place in all but three FL counties, where county officials can request approval from the governor for further reopenings.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida: Beginning in June, AK (6/6), FL (6/5), ME (6/8), and HI (6/16) provide exceptions to the mandatory traveler quarantine based on COVID test results (AK, ME), purpose of interstate travel (FL), travel from certain states (ME), or interisland travel (HI). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii: Beginning in June, AK (6/6), FL (6/5), ME (6/8), and HI (6/16) provide exceptions to the mandatory traveler quarantine based on COVID test results (AK, ME), purpose of interstate travel (FL), travel from certain states (ME), or interisland travel (HI). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana: Large gatherings of up to 250 people are permitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana: On 7/3, IN moved to stage 4.5 of reopening instead of stage 5; capacity limits on certain businesses remain in place, while fairs and conventions were allowed to resume.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa: Iowa limits gatherings to 50% of indoor or outdoor venue capacity and requires social distancing of 6 feet; if these requirements cannot be met, gatherings are limited to 10 people.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
